what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1262584850068
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.ide.ant",1262584850383
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1262584850383
stopped,bundle,com.android.ide.eclipse.adt,0.9.5.v200911191123-20404,"com.android.ide.eclipse.adt",1262584850383
stopped,bundle,org.eclipse.mylyn.java.tasks,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.java.tasks",1262584850401
stopped,bundle,org.eclipse.mylyn.java.ui,3.3.1.v20091215-0000-e3x,"org.eclipse.mylyn.java.ui",1262584850402
stopped,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1262584850403
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1262584850403
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1262584850404
stopped,bundle,com.python.pydev.codecompletion,1.5.1.1258496115,"com.python.pydev.codecompletion",1262584850418
stopped,bundle,com.python.pydev.refactoring,1.5.1.1258496115,"com.python.pydev.refactoring",1262584850422
stopped,bundle,org.python.pydev.mylyn,0.3,"org.python.pydev.mylyn",1262584850423
stopped,bundle,com.python.pydev.analysis,1.5.1.1258496115,"com.python.pydev.analysis",1262584850424
stopped,bundle,com.python.pydev.debug,1.5.1.1258496115,"com.python.pydev.debug",1262584850424
stopped,bundle,com.python.pydev.fastparser,1.5.1.1258496115,"com.python.pydev.fastparser",1262584850424
stopped,bundle,com.python.pydev,1.5.1.1258496115,"com.python.pydev",1262584850425
